id,full_name,app_name,html_url,language,stargazers_count,forks_count,owner_login,created_at
949,bowmanjd/nix-config,nix-config,https://github.com/bowmanjd/nix-config,,0,0,bowmanjd,2025-09-18T10:56:43.761611
948,SonsOfPHP/filesystem,filesystem,https://github.com/SonsOfPHP/filesystem,,0,0,SonsOfPHP,2025-09-18T10:56:43.760306
947,b-vitamins/dotfiles,dotfiles,https://github.com/b-vitamins/dotfiles,,0,0,b-vitamins,2025-09-18T10:56:43.760202
946,asleep-ai/asleep-sdk-react-native,asleep-sdk-react-native,https://github.com/asleep-ai/asleep-sdk-react-native,,0,0,asleep-ai,2025-09-18T10:56:43.760114
945,claysang/lobe-chat,lobe-chat,https://github.com/claysang/lobe-chat,,0,0,claysang,2025-09-18T10:56:43.760022
944,WnSEfuB/BbmETbY,BbmETbY,https://github.com/WnSEfuB/BbmETbY,,0,0,WnSEfuB,2025-09-18T10:56:43.759938
943,open-uem/openuem-docs,openuem-docs,https://github.com/open-uem/openuem-docs,,0,0,open-uem,2025-09-18T10:56:43.759836
942,Fr3doo/Program_Youtube_Downloader,Program_Youtube_Downloader,https://github.com/Fr3doo/Program_Youtube_Downloader,,0,0,Fr3doo,2025-09-18T10:56:43.759733
941,mintjamsinc/cms0,cms0,https://github.com/mintjamsinc/cms0,,0,0,mintjamsinc,2025-09-18T10:56:43.759627
940,nicolaserny/yoga-by-delphine,yoga-by-delphine,https://github.com/nicolaserny/yoga-by-delphine,,0,0,nicolaserny,2025-09-18T10:56:43.759526
939,metaist/metaist.com,metaist.com,https://github.com/metaist/metaist.com,,0,0,metaist,2025-09-18T10:56:43.759437
938,johnxie/awesome-code-docs,awesome-code-docs,https://github.com/johnxie/awesome-code-docs,,0,0,johnxie,2025-09-18T10:56:43.759343
937,detectviz/sre-assistant,sre-assistant,https://github.com/detectviz/sre-assistant,,0,0,detectviz,2025-09-18T10:56:43.759249
936,austinm911/zero-effect-better-t,zero-effect-better-t,https://github.com/austinm911/zero-effect-better-t,,0,0,austinm911,2025-09-18T10:56:43.759155
935,elizaOS/knowledge,knowledge,https://github.com/elizaOS/knowledge,,0,0,elizaOS,2025-09-18T10:56:43.759065
934,nominal-systems/dmi,dmi,https://github.com/nominal-systems/dmi,,0,0,nominal-systems,2025-09-18T10:56:43.758971
933,nmhjklnm/llamaindex-llms.txt,llamaindex-llms.txt,https://github.com/nmhjklnm/llamaindex-llms.txt,,0,0,nmhjklnm,2025-09-18T10:56:43.758877
932,jesse318s/code-lab-assist,code-lab-assist,https://github.com/jesse318s/code-lab-assist,,0,0,jesse318s,2025-09-18T10:56:43.758739
931,ChristianAlexander/ash-ai-demo,ash-ai-demo,https://github.com/ChristianAlexander/ash-ai-demo,,0,0,ChristianAlexander,2025-09-18T10:56:43.758644
930,moonbitlang/mbtsmith,mbtsmith,https://github.com/moonbitlang/mbtsmith,,0,0,moonbitlang,2025-09-18T10:56:43.758549
929,teddyjfpender/tstwo,tstwo,https://github.com/teddyjfpender/tstwo,,0,0,teddyjfpender,2025-09-18T10:56:43.758453
928,h1ddenpr0cess20/tyumi,tyumi,https://github.com/h1ddenpr0cess20/tyumi,,0,0,h1ddenpr0cess20,2025-09-18T10:56:43.758362
927,aiknowledgeworks/aikw.hp,aikw.hp,https://github.com/aiknowledgeworks/aikw.hp,,0,0,aiknowledgeworks,2025-09-18T10:56:43.758270
926,SonsOfPHP/money,money,https://github.com/SonsOfPHP/money,,0,0,SonsOfPHP,2025-09-18T10:56:43.758176
925,petems/gitsweeper,gitsweeper,https://github.com/petems/gitsweeper,,0,0,petems,2025-09-18T10:56:43.758074
924,alexnodeland/fugue,fugue,https://github.com/alexnodeland/fugue,,0,0,alexnodeland,2025-09-18T10:56:43.757965
